 ,Area,Mean,Min,Max
372,747.477,255,255,255
373,612.931,255,255,255
374,276.567,255,255,255
375,351.314,255,255,255
376,784.851,255,255,255
377,493.335,255,255,255
378,448.486,255,255,255
379,1487.480,255,255,255
380,403.638,255,255,255
381,388.688,255,255,255
382,642.831,255,255,255
383,343.840,255,255,255
384,89.697,255,255,255
385,627.881,255,255,255
386,179.395,255,255,255
387,769.902,255,255,255
388,179.395,255,255,255
389,433.537,255,255,255
390,859.599,255,255,255
391,725.053,255,255,255
392,627.881,255,255,255
393,411.113,255,255,255
394,433.537,255,255,255
395,642.831,255,255,255
396,306.466,255,255,255
397,470.911,255,255,255
398,635.356,255,255,255
399,1195.964,255,255,255
400,418.587,255,255,255
401,321.415,255,255,255
402,418.587,255,255,255
403,769.902,255,255,255
404,620.406,255,255,255
405,478.386,255,255,255
406,680.204,255,255,255
407,799.801,255,255,255
408,396.163,255,255,255
409,358.789,255,255,255
410,642.831,255,255,255
411,560.608,255,255,255
412,418.587,255,255,255
413,740.003,255,255,255
414,1053.943,255,255,255
415,508.285,255,255,255
416,89.697,255,255,255
417,351.314,255,255,255
418,411.113,255,255,255
419,725.053,255,255,255
420,859.599,255,255,255
421,298.991,255,255,255
422,508.285,255,255,255
423,381.213,255,255,255
424,448.486,255,255,255
425,553.133,255,255,255
426,470.911,255,255,255
427,627.881,255,255,255
428,575.558,255,255,255
429,455.961,255,255,255
430,455.961,255,255,255
431,1607.076,255,255,255
432,1337.985,255,255,255
433,381.213,255,255,255
434,642.831,255,255,255
435,493.335,255,255,255
436,463.436,255,255,255
437,336.365,255,255,255
438,500.810,255,255,255
439,276.567,255,255,255
440,455.961,255,255,255
441,493.335,255,255,255
442,508.285,255,255,255
443,956.771,255,255,255
444,396.163,255,255,255
445,478.386,255,255,255
446,291.516,255,255,255
447,485.860,255,255,255
448,313.941,255,255,255
449,418.587,255,255,255
450,807.276,255,255,255
451,538.184,255,255,255
452,127.071,255,255,255
453,493.335,255,255,255
454,1345.459,255,255,255
455,657.780,255,255,255
456,358.789,255,255,255
457,485.860,255,255,255
458,89.697,255,255,255
459,515.759,255,255,255
460,545.659,255,255,255
461,67.273,255,255,255
462,373.739,255,255,255
463,403.638,255,255,255
464,134.546,255,255,255
465,426.062,255,255,255
466,351.314,255,255,255
467,306.466,255,255,255
468,1181.014,255,255,255
469,254.142,255,255,255
470,635.356,255,255,255
471,403.638,255,255,255
472,351.314,255,255,255
473,396.163,255,255,255
474,485.860,255,255,255
475,747.477,255,255,255
476,493.335,255,255,255
477,291.516,255,255,255
478,792.326,255,255,255
479,381.213,255,255,255
480,463.436,255,255,255
481,381.213,255,255,255
482,508.285,255,255,255
483,508.285,255,255,255
484,583.032,255,255,255
485,231.718,255,255,255
486,426.062,255,255,255
487,455.961,255,255,255
488,373.739,255,255,255
489,418.587,255,255,255
490,269.092,255,255,255
491,269.092,255,255,255
492,448.486,255,255,255
493,455.961,255,255,255
494,994.145,255,255,255
495,254.142,255,255,255
496,896.973,255,255,255
497,216.768,255,255,255
498,672.730,255,255,255
499,433.537,255,255,255
500,784.851,255,255,255
501,478.386,255,255,255
502,545.659,255,255,255
503,358.789,255,255,255
504,418.587,255,255,255
505,239.193,255,255,255
506,246.668,255,255,255
507,403.638,255,255,255
508,1749.097,255,255,255
509,642.831,255,255,255
510,635.356,255,255,255
511,396.163,255,255,255
512,321.415,255,255,255
513,396.163,255,255,255
514,642.831,255,255,255
515,470.911,255,255,255
516,792.326,255,255,255
517,254.142,255,255,255
518,298.991,255,255,255
519,448.486,255,255,255
520,284.041,255,255,255
521,500.810,255,255,255
522,926.872,255,255,255
523,530.709,255,255,255
524,882.023,255,255,255
525,328.890,255,255,255
526,478.386,255,255,255
527,448.486,255,255,255
528,426.062,255,255,255
529,1076.367,255,255,255
530,433.537,255,255,255
531,1046.468,255,255,255
532,859.599,255,255,255
533,515.759,255,255,255
534,710.104,255,255,255
535,358.789,255,255,255
536,403.638,255,255,255
537,328.890,255,255,255
538,620.406,255,255,255
539,261.617,255,255,255
540,261.617,255,255,255
541,119.596,255,255,255
542,769.902,255,255,255
543,612.931,255,255,255
544,605.457,255,255,255
545,560.608,255,255,255
546,545.659,255,255,255
547,134.546,255,255,255
548,538.184,255,255,255
549,911.922,255,255,255
550,553.133,255,255,255
551,239.193,255,255,255
552,612.931,255,255,255
553,239.193,255,255,255
554,328.890,255,255,255
555,284.041,255,255,255
556,246.668,255,255,255
557,403.638,255,255,255
558,381.213,255,255,255
559,336.365,255,255,255
560,695.154,255,255,255
561,276.567,255,255,255
562,463.436,255,255,255
563,1046.468,255,255,255
564,418.587,255,255,255
565,530.709,255,255,255
566,448.486,255,255,255
567,276.567,255,255,255
568,530.709,255,255,255
569,463.436,255,255,255
570,388.688,255,255,255
571,470.911,255,255,255
572,530.709,255,255,255
573,194.344,255,255,255
574,239.193,255,255,255
575,1038.994,255,255,255
576,366.264,255,255,255
577,605.457,255,255,255
578,530.709,255,255,255
579,665.255,255,255,255
580,627.881,255,255,255
581,186.869,255,255,255
582,343.840,255,255,255
583,403.638,255,255,255
584,702.629,255,255,255
585,67.273,255,255,255
586,538.184,255,255,255
587,216.768,255,255,255
588,403.638,255,255,255
589,276.567,255,255,255
590,134.546,255,255,255
591,291.516,255,255,255
592,89.697,255,255,255
593,485.860,255,255,255
594,358.789,255,255,255
595,381.213,255,255,255
596,448.486,255,255,255
597,463.436,255,255,255
598,687.679,255,255,255
599,1083.842,255,255,255
600,433.537,255,255,255
601,433.537,255,255,255
602,381.213,255,255,255
603,612.931,255,255,255
604,269.092,255,255,255
605,702.629,255,255,255
606,306.466,255,255,255
607,441.012,255,255,255
608,396.163,255,255,255
609,523.234,255,255,255
610,441.012,255,255,255
611,403.638,255,255,255
612,388.688,255,255,255
613,612.931,255,255,255
614,373.739,255,255,255
615,1278.186,255,255,255
616,829.700,255,255,255
617,493.335,255,255,255
618,1270.712,255,255,255
619,411.113,255,255,255
620,478.386,255,255,255
621,426.062,255,255,255
622,298.991,255,255,255
623,515.759,255,255,255
624,306.466,255,255,255
625,306.466,255,255,255
626,478.386,255,255,255
627,1038.994,255,255,255
628,67.273,255,255,255
629,366.264,255,255,255
630,493.335,255,255,255
631,650.305,255,255,255
632,433.537,255,255,255
633,2190.109,255,255,255
634,762.427,255,255,255
635,538.184,255,255,255
636,1233.338,255,255,255
637,725.053,255,255,255
638,351.314,255,255,255
639,754.952,255,255,255
640,433.537,255,255,255
641,605.457,255,255,255
642,351.314,255,255,255
643,530.709,255,255,255
644,463.436,255,255,255
645,657.780,255,255,255
646,874.549,255,255,255
647,358.789,255,255,255
648,441.012,255,255,255
649,515.759,255,255,255
650,313.941,255,255,255
651,560.608,255,255,255
652,508.285,255,255,255
653,216.768,255,255,255
654,553.133,255,255,255
655,545.659,255,255,255
656,426.062,255,255,255
657,336.365,255,255,255
658,112.122,255,255,255
659,171.920,255,255,255
660,411.113,255,255,255
661,964.246,255,255,255
662,500.810,255,255,255
663,807.276,255,255,255
664,2601.221,255,255,255
665,583.032,255,255,255
666,164.445,255,255,255
667,508.285,255,255,255
668,448.486,255,255,255
669,964.246,255,255,255
670,583.032,255,255,255
671,396.163,255,255,255
672,538.184,255,255,255
673,650.305,255,255,255
674,620.406,255,255,255
675,837.175,255,255,255
676,523.234,255,255,255
677,844.649,255,255,255
678,672.730,255,255,255
679,201.819,255,255,255
680,493.335,255,255,255
681,553.133,255,255,255
682,1016.569,255,255,255
683,523.234,255,255,255
684,530.709,255,255,255
685,478.386,255,255,255
686,597.982,255,255,255
687,1091.317,255,255,255
688,231.718,255,255,255
689,470.911,255,255,255
690,642.831,255,255,255
691,545.659,255,255,255
692,583.032,255,255,255
693,762.427,255,255,255
694,590.507,255,255,255
695,553.133,255,255,255
696,388.688,255,255,255
697,493.335,255,255,255
698,777.377,255,255,255
699,463.436,255,255,255
700,568.083,255,255,255
701,455.961,255,255,255
702,1016.569,255,255,255
703,583.032,255,255,255
704,448.486,255,255,255
705,3244.052,255,255,255
706,418.587,255,255,255
